"stock","sppFAO","area","desc","areaType"
"agn.27.nea","AGN","27.4","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.3","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.4.a","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.4.a.e","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-divisions              "
"agn.27.nea","AGN","27.4.a.w","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-divisions              "
"agn.27.nea","AGN","27.1","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.2","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.5","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.6","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.7","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.8","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.9","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.10","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.12","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.14","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Sub-areas                  "
"agn.27.nea","AGN","27.2.a","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.2.b","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.3.a","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.3.d","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.4.b","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.4.c","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.5.a","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.5.b","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
"agn.27.nea","AGN","27.6.a","Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","IC_Divisions                  "
